nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp20DM03-Inoc1-P1,3.0,1.0,3.0,0.0,,,a,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,5.0,1.0,3.0,1.0,7.0,9.0,b,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,3.0,1.0,3.0,0.0,,,c,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,1.0,1.0,3.0,0.0,,,a,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,1.0,1.0,3.0,0.0,,,b,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,1.0,1.0,3.0,0.0,,,c,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,3.0,1.0,3.0,0.0,,,a,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,3.0,1.0,3.0,0.0,,,b,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,3.0,1.0,3.0,0.0,,,c,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,7.0,1.0,9.0,1.0,9.0,7.0,a,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,7.0,1.0,9.0,1.0,9.0,7.0,b,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P1,7.0,1.0,9.0,1.0,9.0,7.0,c,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P2,9.0,0.0,,1.0,3.0,9.0,a,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P2,9.0,0.0,,1.0,3.0,9.0,b,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P2,9.0,0.0,,1.0,3.0,9.0,c,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,9.0,0.0,,1.0,9.0,9.0,a,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,9.0,0.0,,1.0,9.0,9.0,b,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,9.0,0.0,,1.0,9.0,9.0,c,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,a,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,b,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,c,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,1.0,1.0,3.0,0.0,,,a,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,b,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,c,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,a,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,b,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P3,3.0,1.0,3.0,0.0,,,c,4,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc-P4,7.0,1.0,9.0,1.0,7.0,7.0,a,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc-P4,7.0,1.0,9.0,1.0,7.0,7.0,b,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc-P4,7.0,1.0,9.0,1.0,7.0,7.0,c,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,7.0,1.0,7.0,1.0,7.0,7.0,a,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,7.0,1.0,7.0,1.0,7.0,7.0,b,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,7.0,1.0,7.0,1.0,7.0,7.0,c,1,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,9.0,0.0,,1.0,5.0,9.0,a,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,9.0,0.0,,1.0,5.0,9.0,b,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,9.0,0.0,,1.0,5.0,9.0,c,2,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,3.0,1.0,3.0,0.0,,,a,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,3.0,1.0,3.0,0.0,,,b,3,Exp20DM03_inoc1_saisie,fichier total
Exp20DM03-Inoc1-P5,3.0,1.0,3.0,0.0,,,c,3,Exp20DM03_inoc1_saisie,fichier total
